id,section,current_en,draft_en,ru,pt,es,status,note
psb_001,meta,Payroll for Small Business | Garna,,,,,missing_in_draft,SEO title fields are blank in the document
psb_002,meta,"Hire employees, pay contractors, automate taxes, contracts, and bulk payments for small businesses in one Garna payroll platform.",,,,,missing_in_draft,SEO description field is blank in the document
psb_003,hero,Built for small global teams,,,,,missing_in_draft,Hero badge is not present in draft
psb_004,hero,Global Payroll Solution for Small Businesses,Global Payroll Solution for Small Businesses,Глобальное решение по оплате труда для малого бизнеса,Solução Global de Payroll para Pequenas Empresas,Solución global de gestión de nóminas para pequeñas empresas,exact,
psb_005,hero,Hire employees and pay contractors all over the world. Everything in one platform: from taxes and contracts to one-click bulk payments,Hire employees and pay contractors all over the world. Everything in one platform: from taxes and contracts to one-click bulk payments.,Нанимайте сотрудников и оплачивайте услуги подрядчиков по всему миру. Все на одной платформе: от налогов и договоров до массовых платежей в один клик.,Contrate funcionários e pague contratados em todo o mundo. Tudo numa única plataforma: desde impostos e contratos até pagamentos em massa com um clique.,Contrata a empleados y paga a autónomos en todo el mundo. Todo en una sola plataforma: desde impuestos y contratos hasta pagos masivos con un solo clic.,punctuation_diff,Current page has no final period
psb_006,hero,Try Garna,[Try Garna],[Попробуйте Garna],[Experimentar Garna],[Prueba Garna],format_diff,Document has CTA in brackets
psb_007,intro,Small business payroll,,,,,missing_in_draft,Section tag is not present in draft
psb_008,intro,Payroll That Actually Works for Small Businesses,Payroll That Actually Works for Small Businesses,"Система оплаты труда, которая действительно подходит для малого бизнеса",Payroll que realmente funciona para pequenas empresas,Una gestión de nóminas que realmente funciona para las pequeñas empresas,exact,Current page splits with <br>
psb_009,intro,,Forget about routine and mistakes. Pay your team without difficulty.,Забудьте о рутине и ошибках. Оплачивайте работу своей команды без лишних хлопот.,Esqueça a rotina e os erros. Pague à sua equipa sem dificuldades.,Olvídate de la rutina y los errores. Paga a tu equipo sin dificultades.,draft_only,Draft subtitle is not present on current page
psb_010,intro,Payroll should not slow your business down,Payroll shouldn’t slow your business down,Расчет заработной платы не должен тормозить развитие вашего бизнеса,O payroll não deve atrasar o crescimento do seu negócio,La nómina no debería ralentizar tu negocio,text_differs,Draft combines this title with the paragraph
psb_011,intro,"For small businesses, payroll can turn into chaos: endless tables, manual tax recalculation, and the fear of missing a deadline. Every hour spent on accounting and administration is an hour stolen from your growth","Payroll shouldn’t slow your business down. For small businesses, payroll can turn into chaos: endless tables, manual recalculation of taxes, and the fear of missing a deadline. Every hour spent on accounting and administration is an hour stolen from your growth.","Расчет заработной платы не должен тормозить развитие вашего бизнеса. Для малого бизнеса расчет заработной платы может превратиться в настоящий хаос: бесконечные таблицы, ручной пересчет налогов и страх пропустить срок. Каждый час, потраченный на бухгалтерию и административную работу, — это час, отнятый у вашего развития.","O payroll não deve atrasar o crescimento do seu negócio. Para pequenas empresas, o payroll pode transformar-se em caos: tabelas intermináveis, recálculo manual de impostos e receio constante de perder prazos. Cada hora gasta em contabilidade e administração é uma hora retirada ao crescimento da empresa.","La nómina no debería ralentizar tu negocio. Para las pequeñas empresas, la nómina puede convertirse en un caos: tablas interminables, recálculos manuales de impuestos y el miedo a no cumplir un plazo. Cada hora dedicada a la contabilidad y la administración es una hora que le quitas a tu crecimiento.",text_differs,Draft uses “manual recalculation of taxes” and includes title sentence
psb_012,intro,"With Garna, payroll calculation takes minutes, not days","With Garna, the calculation takes no time",С Garna расчет занимает считанные секунды,"Com a Garna, os cálculos não consomem tempo","Con Garna, el cálculo no lleva nada de tiempo",text_differs,Current page title differs from draft wording
psb_013,intro,,"With Garna, the calculation takes no time. We have automated this process. The system calculates salaries, deductions, and taxes by itself so that you stay in the legal field of wasting time and effort.","С Garna расчет занимает считанные секунды. Мы автоматизировали этот процесс. Система самостоятельно рассчитывает заработную плату, вычеты и налоги, чтобы вы не тратили на это время и силы.","Com a Garna, os cálculos não consomem tempo. Automatizámos todo este processo. O sistema calcula salários, deduções e impostos automaticamente para que permaneça em conformidade legal sem desperdiçar tempo e esforço.","Con Garna, el cálculo no lleva nada de tiempo. Hemos automatizado este proceso. El sistema calcula los salarios, las deducciones y los impuestos por sí mismo para que no pierdas tiempo ni esfuerzo.",draft_only,Draft paragraph is not present on current page
psb_014,intro,Save all essentials in one place,Save all essentials in one place,Храните все необходимое в одном месте,Guarde tudo o que é essencial num único lugar,Guarda todo lo esencial en un solo lugar,exact,Draft also contains continuation paragraph not present on page
psb_015,intro,,Save all essentials in one place. Hire new employees and pay them in one place. Choose any payment options and manage the processes using a single platform.,Храните все необходимое в одном месте. Нанимайте новых сотрудников и выплачивайте им заработную плату в одном месте. Выберите любой способ оплаты и управляйте процессами с помощью единой платформы.,Guarde tudo o que é essencial num único lugar. Contrate novos funcionários e efetue pagamentos numa única plataforma. Escolha qualquer método de pagamento e gira todos os processos através de uma só interface.,Guarda todo lo esencial en un solo lugar. Contrata a nuevos empleados y págales en un solo lugar. Elige cualquier opción de pago y gestiona los procesos utilizando una única plataforma.,draft_only,Draft continuation paragraph is not present on current page
psb_016,platform,One platform,,,,,missing_in_draft,Section tag is not present in draft
psb_017,platform,Everything You Need to Manage Small Business Payroll,Everything You Need to Manage Small Business Payroll,"Все, что нужно для ведения расчетов по зарплате в малом бизнесе",Tudo o que precisa para gerir payroll numa pequena empresa,Todo lo que necesitas para gestionar la nómina de una pequeña empresa,exact,
psb_018,platform,We separated the important processes to make it easier to manage both full-time employees and freelancers,We have separated the important processes to make it easier for you to manage both full-time employees and freelancers.,"Мы разделили основные процессы, чтобы вам было проще управлять как штатными сотрудниками, так и внештатными специалистами.",Separámos os processos importantes para facilitar a gestão tanto de funcionários permanentes como de freelancers.,Hemos separado los procesos importantes para que te resulte más fácil gestionar tanto a los empleados a tiempo completo como a los autónomos.,text_differs,Draft says “for you”
