id,key,status,current_english,best_draft_en,score,draft_index,draft_ru,draft_es,draft_pt,notes
eor_001,meta.title,fuzzy_review,"Employer of Record: Remote, Effortless & Effective | Garna","Title: Employer of Record: Remote, Effortless & Effective | Garna",0.941,1,"Название: Официальный работодатель: удаленная работа, без лишних хлопот и с максимальной эффективностью | Garna","Title: Empleador oficial: a distancia, sin complicaciones y eficaz | Garna","Title: Employer of Record: Remoto, Simples e Eficaz | Garna",Current EN may differ from SEO draft; verify before applying
eor_002,meta.description,fuzzy_review,Join Garna and experience how a refined remote employment solution can optimize and simplify hiring talents globally.,Description: Join Garna and experience how a refined remote employment solution can optimize and simplify hiring talents globally.,0.970,2,"Описание: Присоединяйтесь к Garna и узнайте, как продуманное решение для удаленной работы может оптимизировать и упростить процесс найма талантов по всему миру.",Description: Únete a Garna y descubre cómo una solución de empleo a distancia perfeccionada puede optimizar y simplificar la contratación de talentos a nivel mundial.,Description:  Junte-se à Garna e descubra como uma solução moderna de emprego remoto pode otimizar e simplificar a contratação global de talentos.,Current EN may differ from SEO draft; verify before applying
eor_003,hero.badge,weak_review,Employer of Record for global teams,FAQ on Employer of Record,0.545,82,Часто задаваемые вопросы об услуге «официальный работодатель»,Preguntas frecuentes sobre el empleador oficial,Orgulhamo-nos de contribuir para workflows eficientes e sem complicações.,Current EN may differ from SEO draft; verify before applying
eor_004,hero.title,exact,"Worldwide Employment Made Simple, Quick & Flawless","Worldwide Employment Made Simple, Quick & Flawless",1.000,3,"Простой, быстрый и безупречный процесс найма по всему миру","Contratación internacional sencilla, rápida y sin complicaciones","Contratação global simples, rápida e sem falhas",
eor_005,hero.description,weak_review,"Hiring the best talent from around the globe does not have to mean complex compliance rules, separate payroll systems, or new legal entities in every country. Garna gives companies a simple, modern Employer of Record solution for global hiring without operational hassle","Hiring the best talent from around the globe doesn't have to be a set of complex compliance rules, separate payroll systems where you have to create multiple legal entities in each country. At Garna, we provide a simple, modern employer of record solution designed to help businesses expand globally without getting stuck in operational hassles.",0.659,4,"Привлечение лучших специалистов со всего мира не обязательно должно сопровождаться сложными нормами законодательства, отдельными системами расчета заработной платы и необходимостью создавать множество юридических лиц в каждой стране. Компания Garna предлагает простое и современное решение по официальному найму персонала, призванное помочь предприятиям выходить на международный рынок, не увязая в операционных сложностях.","Contratar a los mejores talentos de todo el mundo no tiene por qué implicar un conjunto de complejas normas de cumplimiento ni sistemas de nóminas independientes en los que haya que crear múltiples entidades jurídicas en cada país. En Garna, ofrecemos una solución sencilla y moderna de empleador oficial diseñada para ayudar a las empresas a expandirse a nivel mundial sin verse atrapadas en complicaciones operativas.","Contratar os melhores talentos em qualquer parte do mundo não deve significar lidar com regras complexas de conformidade, sistemas de payroll separados ou criação de múltiplas entidades legais em cada país. Na Garna, oferecemos uma solução Employer of Record simples e moderna, concebida para ajudar empresas a expandirem-se globalmente sem ficarem presas em dificuldades operacionais.",Current EN may differ from SEO draft; verify before applying
eor_006,hero.cta,weak_review,Book a demo,Button: Book demo,0.667,5,Кнопка: Заказать пробную версию,Botón: Solicita un demo,Button: Marcar demo,Current EN may differ from SEO draft; verify before applying
eor_007,faq.items.q1.answer,fuzzy_review,"An EoR is a third-party company that legally employs workers on behalf of another business and handles payroll, taxes, compliance, contracts, and local employment rules.","An Employer of Record (EoR) is a third-party company that legally employs workers on behalf of another business. They're the ones responsible for handling things, like payroll, taxes, compliance, contracts, and making sure the local employment rules are followed.",0.762,84,"«Официальный работодатель» — это сторонняя компания, которая на законных основаниях нанимает работников от имени другого предприятия. Именно они отвечают за такие вопросы, как оплата труда, налоги, соблюдение нормативных требований, заключение договоров, а также за обеспечение соблюдения местных трудовых норм.","Un empleador de referencia (EoR) es una empresa externa que contrata legalmente a los trabajadores en nombre de otra empresa. Son los responsables de gestionar aspectos como las nóminas, los impuestos, el cumplimiento normativo, los contratos y de garantizar que se respeten las normas laborales locales.",1. O que é um Employer of Record (EoR)?,Current EN may differ from SEO draft; verify before applying
eor_008,faq.items.q2.answer,weak_review,A PEO usually works through a co-employment model and often needs the client company to have a local setup. An EoR acts as the official employer so you do not need to set up a business in every country.,"A PEO is a type of company that uses the 'co-employment' model. They work together with the client company to manage the employees. They usually need the client company to already have a local setup. An EoR, on the other hand, acts as the official employer so you don't need to set up a business in every country you want to work in.",0.700,86,"Профессиональная организация-работодатель — это тип компании, которая использует модель «совместного найма». Они сотрудничают с компанией-заказчиком в вопросах управления персоналом. Как правило, для этого необходимо, чтобы у компании-заказчика уже была налажена местная инфраструктура. С другой стороны, «официальный работодатель» выступает в качестве официального нанимателя, благодаря чему вам не нужно регистрировать компанию в каждой стране, где вы хотите работать.","Una PEO es un tipo de empresa que utiliza el modelo de «coempleo». Trabaja conjuntamente con la empresa cliente para gestionar a los empleados. Por lo general, requiere que la empresa cliente ya cuente con una estructura local. Un EoR, por su parte, actúa como empleador oficial, por lo que no es necesario establecer una empresa en cada país en el que se desee trabajar.",2. Qual é a diferença entre um EoR e uma Professional Employer Organization (PEO)?,Current EN may differ from SEO draft; verify before applying
eor_009,faq.items.q3.answer,weak_review,Use an EoR when you want to hire people in countries where your company is not already set up to do business.,"If you want to start hiring people in countries you aren't already set up to do business in, an EoR is your solution. It lets you expand internationally without having to go through a tiring process of starting a subsidiary in each place and sorting out all the local labour rules.",0.462,88,"Если вы хотите начать нанимать сотрудников в странах, где у вас пока нет представительства, услуга «официальный работодатель» станет для вас идеальным решением. Это позволяет вам выходить на международный рынок, не проходя через утомительный процесс открытия дочерних компаний в каждой стране и разбираясь со всеми местными трудовыми нормами.","Si quieres empezar a contratar personal en países en los que aún no tienes una estructura para hacer negocios, un EoR es la solución. Te permite expandirte internacionalmente sin tener que pasar por el tedioso proceso de crear una filial en cada lugar y lidiar con todas las normas laborales locales.",3. Quando deve utilizar um EoR?,Current EN may differ from SEO draft; verify before applying
eor_010,faq.items.q4.answer,weak_review,A local entity can be expensive and slow. An EoR is usually faster and more flexible when you need to test new regions and scale a global team without unnecessary complexity.,"Setting up a local entity can be expensive and tiring, especially if you're just starting out in a new market. An EoR is usually faster to set up and way more flexible for businesses that need to hire globally. You can try out new regions, scale your team without any complexities.",0.611,90,"Создание местной компании может оказаться дорогостоящим и трудоемким процессом, особенно если вы только начинаете работу на новом рынке. Обычно использование услуги «официального работодателя» занимает меньше времени и обеспечивает гораздо большую гибкость для компаний, которым необходимо нанимать сотрудников по всему миру. Вы можете тестировать новые регионы и расширять свою команду без каких-либо сложностей.","Constituir una entidad local puede resultar caro y agotador, especialmente si acabas de empezar en un nuevo mercado. Un EoR suele ser más rápido de constituir y mucho más flexible para las empresas que necesitan contratar a nivel global. Puedes probar nuevas regiones y ampliar tu equipo sin complicaciones.",4.  EoR vs criação da própria entidade internacional: qual é melhor?,Current EN may differ from SEO draft; verify before applying
