id,bucket,section,source,element,key,implementation_status,render_status,english_text,seo_ru,seo_pt,seo_es,match_status,notes
eor_001,seo_meta,Meta,src/i18n/translations/eor/en.ts,meta,meta.title,has_key,source_only,"Employer of Record: Remote, Effortless & Effective | Garna",,,,,
eor_002,seo_meta,Meta,src/i18n/translations/eor/en.ts,meta,meta.description,has_key,source_only,Join Garna and experience how a refined remote employment solution can optimize and simplify hiring talents globally.,,,,,
eor_003,page_hero,Hero,astro/content/page-heroes.ts :: eor,badge,hero.badge,has_key,source_only,Employer of Record for global teams,,,,,
eor_004,page_hero,Hero,astro/content/page-heroes.ts :: eor,h1,hero.title,has_key,source_only,"Worldwide Employment Made Simple, Quick & Flawless",,,,,
eor_005,page_hero,Hero,astro/content/page-heroes.ts :: eor,description,hero.description,has_key,source_only,"Hiring the best talent from around the globe does not have to mean complex compliance rules, separate payroll systems, or new legal entities in every country. Garna gives companies a simple, modern Employer of Record solution for global hiring without operational hassle",,,,,
eor_006,page_hero,Hero,astro/content/page-heroes.ts :: eor,button,hero.cta,has_key,source_only,Book a demo,,,,,
eor_007,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q1.answer,has_key,source_only,"An EoR is a third-party company that legally employs workers on behalf of another business and handles payroll, taxes, compliance, contracts, and local employment rules.",,,,,
eor_008,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q2.answer,has_key,source_only,A PEO usually works through a co-employment model and often needs the client company to have a local setup. An EoR acts as the official employer so you do not need to set up a business in every country.,,,,,
eor_009,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q3.answer,has_key,source_only,Use an EoR when you want to hire people in countries where your company is not already set up to do business.,,,,,
eor_010,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q4.answer,has_key,source_only,A local entity can be expensive and slow. An EoR is usually faster and more flexible when you need to test new regions and scale a global team without unnecessary complexity.,,,,,
eor_011,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q5.answer,has_key,source_only,"Garna provides a flexible global EoR solution with payroll, compliance, onboarding, API integrations, white-label options, and support for multi-country teams.",,,,,
eor_012,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q1.question,has_key,source_only,What is an Employer of Record (EoR)?,,,,,
eor_013,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q2.question,has_key,source_only,How is an EoR different from a PEO?,,,,,
eor_014,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q3.question,has_key,source_only,When should you use an EoR?,,,,,
eor_015,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q4.question,has_key,source_only,EoR vs own international entity setup: which is better?,,,,,
eor_016,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q5.question,has_key,source_only,What EoR model does Garna have?,,,,,
eor_017,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: FAQSection props,kicker,faq.kicker,has_key,source_only,FAQ,,,,,
eor_018,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: FAQSection props,h2,faq.title,has_key,source_only,FAQ on Employer of Record,,,,,
eor_019,page_cta,Final CTA,astro/content/page-final-ctas.ts :: eor,h2,finalCta.title,has_key,source_only,Global Employer of Record is a Modern Hiring Process Done Stress-Free,,,,,
eor_020,page_cta,Final CTA,astro/content/page-final-ctas.ts :: eor,description,finalCta.description,has_key,source_only,Garna offers 24/7 expert support and the features needed to create smooth employee experiences around the world without unexpected operational crises,,,,,
eor_021,page_cta,Final CTA,astro/content/page-final-ctas.ts :: eor,button,finalCta.button,has_key,source_only,Start Going Global,,,,,
eor_022,widget,Booking widget,astro/pages/employer-of-record.astro :: GarnaBookingWidget fallback,widget,bookingWidget.titleFallback,has_key,source_only,Book a free 30-minute product demo,,,,,
eor_023,widget,Booking widget,astro/pages/employer-of-record.astro :: GarnaBookingWidget fallback,widget,bookingWidget.subtitleFallback,has_key,source_only,Get all your questions answered by our experts,,,,,
eor_024,hero_visual_ui,Hero,astro/content/site-pages/eor.html,span,dashboard.url,has_key,source_html,garna.io/dashboard,,,,,
eor_025,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Balance,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_026,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Company,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_027,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Notifications,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_028,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Support,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_029,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Internal account USD USD EUR,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_030,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"$112,272.31",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_031,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Account number,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_032,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,4461 9571 3840 9821,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_033,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Send Withdraw Add funds Details,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_034,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Templates,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_035,page_body,Hero,astro/content/site-pages/eor.html,a,,needs_key,source_html,All,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_036,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.transactionByEmail,has_key,source_html,Transaction by email,,,,,
eor_037,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.csvPayment,has_key,source_html,CSV payment,,,,,
eor_038,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.topUpUsdt,has_key,source_html,Top up with USDT,,,,,
eor_039,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.topUpBank,has_key,source_html,Top up with Bank transfer,,,,,
eor_040,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Transactions,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_041,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Transfer to Maria Rei,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_042,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,transactions.confirmed,has_key,source_html,Confirmed,,,,,
eor_043,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,-$480.00,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_044,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"10.01.2026, 18:58",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_045,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Transfer to Vlad Kolomensky,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_046,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,-$160.00,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_047,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"10.01.2026, 18:54",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_048,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"$ 1,000,000.00 available for team payouts",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_049,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,advance.description,has_key,source_html,Pay your contractors now — repay later with flexible terms,,,,,
eor_050,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Request,,,,,No translation key yet; needs key before implementation if this text should be localized.
