id,section,target,current_en,draft_en,ru,pt,es,source,status,note
mid_001,meta,meta.title,,Flexible Payroll Solutions for Growing Businesses | Garna,Гибкие решения по оплате труда для растущих компаний | Garna,Soluções Flexíveis de Payroll para Empresas em Crescimento | Garna,Soluciones flexibles de gestión de nóminas para empresas en crecimiento | Garna,src/i18n/translations/mid-size (new),seo_from_draft,
mid_002,meta,meta.description,,"Automate payroll processing, handle employees and contractors from all over the world without headaches, but with Garna.",Автоматизируйте оплату труда и без лишних хлопот управляйте персоналом и подрядчиками со всего мира с помощью Garna.,Automatize o processamento salarial e faça a gestão de colaboradores e prestadores de serviços em qualquer parte do mundo sem complicações — com a Garna.,"Automatiza la gestión de nóminas y gestiona a empleados y contratistas de todo el mundo sin complicaciones, gracias a Garna.",src/i18n/translations/mid-size (new),seo_from_draft,
mid_003,hero,hero.title,Payroll for Growing Companies,Payroll for Growing Companies,Оплата труда в растущих компаниях,Payroll para Empresas em Crescimento,Nómina para empresas en crecimiento,astro/content/page-heroes.ts,exact_or_punctuation_only,
mid_004,hero,hero.description,"A solution that keeps up with your growing business - a scalable platform that lets you put payroll on autopilot, manage employees and contractors from a single place","A solution that keeps up with your growing business — a scalable platform that lets you put payroll on autopilot, manage employees and contractors from a single place.","Решение, которое растет вместе с вашим бизнесом — масштабируемая платформа, позволяющая автоматизировать расчет заработной платы и управлять персоналом и подрядчиками через единый интерфейс.",Uma solução que acompanha o crescimento do seu negócio — uma plataforma escalável que permite automatizar os processos de payroll e gerir colaboradores e prestadores de serviços num único local.,Una solución que se adapta al crecimiento de tu negocio: una plataforma escalable que te permite automatizar la gestión de nóminas y gestionar a empleados y contratistas desde un único lugar.,astro/content/page-heroes.ts,exact_or_punctuation_only,
mid_005,hero,hero.cta,Try Garna,Try Garna,Попробовать Garna,Experimentar a Garna,Prueba Garna,astro/content/page-heroes.ts,exact_or_punctuation_only,
mid_006,operations,operations.title,,Global Payroll Operations — Under Your Full Control,Управление оплатой труда по всему миру — под вашим полным контролем,Operações Globais de Payroll — Totalmente Sob o Seu Controlo,Operaciones de nómina globales: bajo tu control total,astro/content/site-pages/mid-size.html,needs_key_or_markup,No matching current-page string found in the English inventory; likely needs a new data-translate key or manual placement.
mid_007,operations,operations.intro1,,"With growth comes operational complexity. Before you know it, you have more employees, more contractors, more global payments coming all at once.","С ростом бизнеса возрастает сложность операционной деятельности. Не успеете оглянуться, как у вас вырастет количество сотрудников, подрядчиков и международных платежей, которые начнут поступать одновременно.","Com o crescimento surge também uma maior complexidade operacional. De repente, há mais colaboradores, mais prestadores de serviços e mais pagamentos internacionais para gerir ao mesmo tempo.","El crecimiento conlleva complejidad operativa. Antes de que te des cuenta, tendrás más empleados, más contratistas y más pagos internacionales llegando todos a la vez.",astro/content/site-pages/mid-size.html,needs_key_or_markup,No matching current-page string found in the English inventory; likely needs a new data-translate key or manual placement.
mid_008,operations,operations.intro2,,Garna gives growing companies a solid foundation for their payroll infrastructure. It’s built as a centralized system that keeps everything simple while still giving you visibility and control.,"Garna предоставляет растущим компаниям прочную основу для организации системы оплаты труда. Эта система построена по принципу централизованной архитектуры, что позволяет упростить работу, не лишая вас контроля и прозрачности.","A Garna oferece às empresas em crescimento uma base sólida para a sua infraestrutura de payroll. Foi concebida como um sistema centralizado que simplifica a gestão, sem comprometer a visibilidade nem o controlo.",Garna ofrece a las empresas en crecimiento una base sólida para su infraestructura de nóminas. Está diseñada como un sistema centralizado que simplifica todo sin renunciar a la visibilidad y el control.,astro/content/site-pages/mid-size.html,needs_key_or_markup,No matching current-page string found in the English inventory; likely needs a new data-translate key or manual placement.
mid_009,operations,operations.system.title,,One system to rule them all,"Одна система, чтобы править всеми",Um único sistema para gerir tudo,Un sistema para gestionarlo todo,astro/content/site-pages/mid-size.html,needs_key_or_markup,No matching current-page string found in the English inventory; likely needs a new data-translate key or manual placement.
mid_010,operations,operations.system.description,,"Garna brings together every document and tool to one platform that scales with your team. Employee payroll, contractor payments, onboarding, approvals and reporting are at hand whenever you need them.","Garna объединяет все документы и инструменты на одной платформе, которая растет вместе с вашей командой. Оплата труда сотрудников, выплаты подрядчикам, адаптация новых сотрудников, утверждение документов и отчетность — всё это всегда под рукой, когда вам это нужно.","A Garna reúne todos os documentos e ferramentas numa única plataforma que cresce juntamente com a sua equipa. Processamento salarial, pagamentos a prestadores de serviços, onboarding, aprovações e relatórios — tudo disponível quando precisar.","Garna reúne todos los documentos y herramientas en una única plataforma que se adapta al tamaño de tu equipo. La nómina de los empleados, los pagos a los contratistas, la incorporación de nuevos empleados, las aprobaciones y los informes están a tu alcance siempre que los necesites.",astro/content/site-pages/mid-size.html,needs_key_or_markup,No matching current-page string found in the English inventory; likely needs a new data-translate key or manual placement.
